wt hex,unc13 hex,unc31 hex,wt hexiaa,unc13 hexiaa,unc31 hexiaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.026599462,0.6603209,0.16267269,0.91035679,0.46416223,0.65972023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.302101652,2.23394607,0.40856335,1.758681135,1.45712926,0.16151403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.593264237,0.2703191,0.04114937,0.874314052,0.17029187,0.60722903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.203455601,2.24820269,1.34618295,1.737804225,0.20607117,1.18477652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.893591589,2.14453282,0.79262494,1.552558118,1.07543614,2.09397629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.920214467,0.49394592,0.43976872,0.686480947,0.34544647,0.44284566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.961489169,0.43789501,0.08409885,1.584028555,1.06858622,1.01859702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.280301858,0.48522333,0.30030091,1.805582686,2.91240851,0.85073987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.427766354,0.04854122,0.81254281,1.631890598,1.15057537,0.19247788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.358049004,1.52548215,0.23680789,1.288790701,1.93229287,2.21838588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.164126894,0.71278261,0.2536224,2.602738399,1.71340092,0.18413361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.149744671,0.31732074,0.06965648,0.865620649,1.26046433,1.04481192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.196798305,0.96813419,0.43275032,1.193158972,1.87757044,0.14959218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.63303839,1.1168277,0.18199388,0.792456683,2.05233667,0.64497057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2792955,0.46897453,0.09752542,1.733584986,2.03059159,0.61877614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.83023415,,,2.24800779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.50342249,,,1.12776521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41234755,,,1.637356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5025486,,,1.17805352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.50138869,,,1.62369232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35007532,,,2.28024267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22229273,,,0.62501455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72203561,,,1.47261906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.33203209,,,1.54180153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30166531,,,1.80004372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.42530591,,,1.62721354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26439878,,,0.11943658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.83773993,,,0.67126307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16342076,,,1.33519557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.6393454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,