animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20210818_AWC_WT_PYR_10mM__1/20210818_AWC_WT_PYR_10mM__1_ImageJ_data.csv,1,39,-0.133111855,60.75,-0.162022629
20210818_AWC_WT_PYR_10mM__10/20210818_AWC_WT_PYR_10mM__10_ImageJ_data.csv,2,39.75,-0.446019986,70.25,0.771646265
20210818_AWC_WT_PYR_10mM__2/20210818_AWC_WT_PYR_10mM__2_ImageJ_data.csv,3,40,-0.784448671,60.75,-0.770034819
20210818_AWC_WT_PYR_10mM__3/20210818_AWC_WT_PYR_10mM__3_ImageJ_data.csv,4,39.75,-0.243274221,60.75,-0.605505849
20210818_AWC_WT_PYR_10mM__4/20210818_AWC_WT_PYR_10mM__4_ImageJ_data.csv,5,30.75,0.122107846,68,0.088043049
20210818_AWC_WT_PYR_10mM__5/20210818_AWC_WT_PYR_10mM__5_ImageJ_data.csv,6,40.25,-0.513885617,60.75,-0.484229162
20210818_AWC_WT_PYR_10mM__6/20210818_AWC_WT_PYR_10mM__6_ImageJ_data.csv,7,36.75,-0.210921392,67.5,1.963733764
20210818_AWC_WT_PYR_10mM__7/20210818_AWC_WT_PYR_10mM__7_ImageJ_data.csv,8,40,-0.714983603,60.75,-0.649730782
20210818_AWC_WT_PYR_10mM__8/20210818_AWC_WT_PYR_10mM__8_ImageJ_data.csv,9,40,-0.787120507,60.75,-0.812061159
20210818_AWC_WT_PYR_10mM__9/20210818_AWC_WT_PYR_10mM__9_ImageJ_data.csv,10,40.25,-0.444558296,60.75,-0.374669626
20210819_AWC_WT_PYR_10mM__1/20210819_AWC_WT_PYR_10mM__1_ImageJ_data.csv,11,40.25,-0.609134645,60.75,-0.568290361
20210819_AWC_WT_PYR_10mM__2/20210819_AWC_WT_PYR_10mM__2_ImageJ_data.csv,12,40.25,-0.675080531,60.75,-0.681339108
20210819_AWC_WT_PYR_10mM__3/20210819_AWC_WT_PYR_10mM__3_ImageJ_data.csv,13,40.25,-0.630037159,60.75,-0.617912286
20210819_AWC_WT_PYR_10mM__4/20210819_AWC_WT_PYR_10mM__4_ImageJ_data.csv,14,38.75,0.141891687,62.25,-0.335108928
20210819_AWC_WT_PYR_10mM__5/20210819_AWC_WT_PYR_10mM__5_ImageJ_data.csv,15,39.5,-0.457603701,64.75,1.129587213